AppID,Name,Peak CCU,Positive,Negative,Price,Release date,Genres,Categories,Developers,Publishers,Required age
Candle,"Nov 11, 2016",0,893,249,85,200000 - 500000,"Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",Teku Studios,Teku Studios,0.74
KinnikuNeko: SUPER MUSCLE CAT,"Mar 19, 2024",0,138,6,25,0 - 20000,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Kamotachi,Mameshiba Games,13.49
"Fright Chasers: Thrills, Chills and Kills Collector's Edition","May 17, 2020",0,0,2,0,0 - 20000,"Adventure,Casual","Single-player,Family Sharing",Mad Head Games,BFG Entertainment,4.99
Bananner Nababber,"Aug 13, 2022",0,0,0,0,0 - 0,"Action,Casual,Indie,Free To Play","Single-player,Partial Controller Support",Lazrool,GZ Storm,0.0
The Forest Prison,"Jun 4, 2022",0,2,4,0,50000 - 100000,"Action,Strategy,Free To Play,Early Access",Single-player,Vlad Cristian,Vlad Cristian,0.0
HYDROGEN,"Jul 18, 2024",0,10,0,0,0 - 20000,"Action,Adventure,Indie,Early Access","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Majed Altaemi,Majed Altaemi,5.99
Prologue for a Vacant Kingdom,"Apr 18, 2019",0,226,10,0,20000 - 50000,"Action,Adventure,Free To Play,Indie,RPG","Single-player,Steam Achievements,Full controller support,Steam Cloud",shru,shru,0.0
HENTAI EXOTICA vol.2,"Oct 4, 2019",0,0,0,51,0 - 20000,Casual,"Single-player,Steam Achievements,Family Sharing",Elementarium games,Elementarium games,0.49
The Lost Penguin,"Nov 4, 2024",0,3,0,50,0 - 20000,"Adventure,Casual,Strategy","Single-player,Steam Achievements,Partial Controller Support,Family Sharing",OddGinger,OddGinger,0.99
Traffic Jam Simulator,"Feb 25, 2025",0,4,2,0,0 - 20000,"Casual,Indie,Simulation,Strategy","Single-player,Family Sharing",AA Mini Games Studio,AA Mini Games Studio,0.99
Pure Sniper,"Jun 12, 2023",0,0,0,0,0 - 20000,"Action,Free To Play","Single-player,Multi-player,PvP,Online PvP,In-App Purchases",Miniclip Derby,Miniclip Derby,0.0
王侯将相-充一返三（三倍返利版）,"Oct 27, 2023",0,4,9,0,0 - 20000,"Adventure,Massively Multiplayer,RPG,Strategy","Single-player,Multi-player,MMO,In-App Purchases",王侯将相项目组,王侯将相项目组,0.0
Small Town Detective,"Feb 28, 2023",0,13,5,0,0 - 20000,"Action,Casual,Indie","Single-player,Steam Achievements,Family Sharing",SimonDesign,SimonDesign,6.99
Black Powder Red Earth®,"Mar 29, 2021",0,192,28,0,0 - 20000,Strategy,"Single-player,Family Sharing",_Echelon Software,_Echelon Software,19.99
Guacomole,"Feb 2, 2023",0,5,1,0,0 - 20000,"Action,Casual,Indie,Strategy","Single-player,Steam Achievements,Full controller support,Family Sharing",Cody Harmon,Cody Harmon,3.99
The Dragon and the Djinn,"Jul 28, 2022",0,11,5,0,0 - 20000,"Action,Adventure,Casual,Indie,RPG","Single-player,Steam Achievements,Steam Cloud,Family Sharing",Choice of Games,Choice of Games,5.93
Nude and Afraid: 11 Day Challenge,"Oct 17, 2023",0,0,0,50,0 - 20000,"Casual,Indie,RPG,Simulation","Single-player,Steam Achievements,Family Sharing",Noxurtica,Noxurtica,4.99
The Dragon's Prophecy,"Jan 11, 2023",0,9,1,66,20000 - 50000,RPG,"Single-player,Partial Controller Support,Family Sharing",Old School Games,Aldorlea Games,3.05
Into the Breach,"Feb 27, 2018",0,19126,1090,70,1000000 - 2000000,"Indie,RPG,Simulation,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",Subset Games,Subset Games,4.49
Snuffles and Co.,"Nov 16, 2018",0,4,0,0,0 - 20000,"Indie,Free To Play","Single-player,Stats",Rainbowpunch Studio,Rainbowpunch Studio,0.0
The Hundred Line -Last Defense Academy-,"Apr 23, 2025",0,4752,579,30,200000 - 500000,"Adventure,Simulation","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Too Kyo Games,Media.Vision Inc.",Aniplex Inc.,41.99
Mortal Sin,"Aug 29, 2025",0,3313,148,20,200000 - 500000,"Action,Indie,RPG","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Nikola Todorovic,Nikola Todorovic,19.99
Grassland defender Keita,"Aug 4, 2022",0,0,0,70,0 - 20000,"Casual,Indie,RPG","Single-player,Family Sharing",African boy Keita studio,African boy Keita studio,0.59
Power Link VR,"Sep 9, 2016",0,28,2,0,0 - 20000,"Casual,Indie,Simulation,Sports","Single-player,Tracked Controller Support,VR Only",Himi Games,Newsight games,0.0
MONMUSU,"May 11, 2018",0,4025,1012,0,500000 - 1000000,"Casual,Free To Play,Indie","Single-player,Steam Achievements,Steam Trading Cards,In-App Purchases,Steam Cloud",Tentacle Games,NEKO WORKs,0.0
Pinball Jam,"Apr 18, 2025",0,0,0,50,0 - 20000,"Casual,Indie,Simulation,Sports","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing",Super PowerUp Games,Super PowerUp Games,9.99
Omegalodon,"Sep 20, 2013",0,278,132,75,20000 - 50000,"Action,Indie","Multi-player,Cross-Platform Multiplayer,Family Sharing",North of Earth,North of Earth,2.49
A Bloody Night,"Jun 22, 2017",0,85,20,50,20000 - 50000,"Action,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing",Elder Leaf Studio,Elder Leaf Studio,1.49
Peach,"Aug 22, 2024",0,0,0,0,0 - 0,"Action,Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy,Free To Play","Single-player,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards",Yakno,Yakno,0.0
Kingdom Under Fire: The Crusaders,"Feb 28, 2020",0,950,81,0,50000 - 100000,"Action,RPG,Strategy","Single-player,Partial Controller Support,Family Sharing",Blueside,"Blueside,Incredi Soft",19.99
Spellinkers,"Nov 11, 2019",0,11,2,0,0 - 20000,"Casual,Indie,RPG,Strategy","Single-player,Family Sharing",PixLuna Game Studio,PixLuna Game Studio,0.99
Math Dash,"Feb 29, 2024",0,0,0,0,0 - 20000,Strategy,"Single-player,Family Sharing",RamicSoft,RamicSoft,8.99
VA-11 Hall-A: Cyberpunk Bartender Action,"Jun 21, 2016",0,35526,936,33,500000 - 1000000,"Adventure,Indie,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",Sukeban Games,"Ysbryd Games,PLAYISM",10.04
Breath of Ghosts,"Jun 9, 2022",0,13,21,0,20000 - 50000,"Action,Indie,Simulation","Single-player,Family Sharing",Piece Of Voxel,Piece Of Voxel,1.24
Beyond The Second Hour,"Dec 16, 2025",0,0,0,0,0 - 0,"Action,Adventure,Strategy","Single-player,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Mouse Only Option,Playable without Timed Input,Save Anytime,Remote Play Together,Family Sharing",Mohamed Samy,TIRUO online,3.49
Rock Wrecker,"Jul 14, 2022",0,3,0,0,0 - 20000,"Action,Adventure,Casual,Indie,RPG","Single-player,Family Sharing",Moist Apps,Moist Apps,2.0
Laughing to Die,"Apr 10, 2024",0,2587,91,25,100000 - 200000,"Adventure,Indie","Single-player,Steam Achievements,Steam Cloud,Family Sharing",大吉利制作组,"Gamera Games,Gamirror Games",3.74
Jurard Run,"Feb 6, 2025",0,0,0,0,0 - 0,"Action,Indie,Free To Play","Single-player,Steam Achievements,Full controller support",Saphertha,holo Indie,0.0
Please The Gods,"Jul 17, 2019",0,29,10,0,0 - 20000,"Adventure,RPG","Single-player,Family Sharing",Surma Games,Spawn Point OSK,9.99
DOOM 3,"Oct 15, 2012",17,9834,1535,0,1000000 - 2000000,Action,"Single-player,Multi-player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Family Sharing",id Software,Bethesda Softworks,3.99
Until the Last Plane 1942,"Feb 18, 2025",0,0,0,0,0 - 0,"Action,Indie,Free To Play","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together",CarloC-free,CarloC-free,0.0
Bryce Tiles,"Apr 24, 2025",0,22,0,0,0 - 20000,"Casual,Indie,Strategy","Single-player,Steam Achievements,Steam Workshop,Adjustable Text Size,Custom Volume Controls,Keyboard Only Option,Mouse Only Option,Playable without Timed Input,Stereo Sound,Partial Controller Support,Steam Cloud,Stats,Includes level editor,Family Sharing","Brilliance,Brilliance Games","Brilliance,Brilliance Games",5.59
DETECTIVE - Minerva case,"Jun 6, 2024",0,9,2,0,0 - 20000,"Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",k148 Game Studio,JanduSoft,2.74
"Warhammer® 40,000: Dawn of War® II Chaos Rising","Mar 11, 2010",17,3047,304,0,1000000 - 2000000,Strategy,"Single-player,Multi-player,Co-op,Steam Cloud,Family Sharing","Relic Entertainment,Feral Interactive (Mac/Linux)","SEGA,Feral Interactive (Mac/Linux)",0.0
Critical Fishing,"Nov 4, 2024",0,29,1,0,0 - 20000,"Action,Casual,Indie","Single-player,Family Sharing",lazygun,lazygun,2.99
The Backrooms Footage,"Sep 2, 2022",0,51,26,50,0 - 20000,"Action,Adventure,Casual,Indie,Simulation,Early Access","Single-player,Multi-player,PvP,Co-op,Steam Achievements,Captions available,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,HDR available,Family Sharing",Untold Backrooms Stories,Untold Backrooms Stories,3.99
Rogue Heist,"Aug 21, 2019",0,136,259,0,100000 - 200000,"Action,Free To Play,Indie,Early Access","Multi-player,PvP,Online PvP,In-App Purchases,Family Sharing",Lifelike Studios,Time2Play Gaming Studios,0.0
Pizzeria,"Jul 8, 2024",0,0,0,0,0 - 0,"Action,Adventure,Casual,Indie,Strategy,Free To Play","Single-player,Steam Achievements,In-App Purchases",Green Juice Studios,Green Juice Studios,0.0
Diamond hunt,"Oct 9, 2020",0,2,0,0,0 - 20000,"Action,Indie","Single-player,Family Sharing",RockingDyde!,RockingDyde!,2.99
Sushi Bar Express,"Mar 22, 2023",0,12,4,75,0 - 20000,"Simulation,Strategy","Single-player,Steam Leaderboards,Family Sharing",NYX Digital Ltd,Funbox Media Ltd,2.49
My Yandere Sister loves me too much!,"Oct 16, 2020",0,0,0,50,0 - 20000,Casual,"Single-player,Steam Achievements,Full controller support,Family Sharing",Norn,Cherry Kiss Games,4.99
YogLabs: Testing Initiative,"Oct 24, 2025",0,0,0,0,0 - 0,"Adventure,Indie,Free To Play","Single-player,Steam Achievements,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound",Four White Cats,Four White Cats,0.0
Mythicard,"Nov 6, 2022",0,43,7,0,0 - 20000,"Casual,Indie,Massively Multiplayer,Strategy,Free To Play","Multi-player,PvP,Online PvP,Cross-Platform Multiplayer",Crackoder,Crackoder,0.0
Starters Orders 6 Horse Racing,"Jun 29, 2016",0,83,22,50,0 - 20000,"Racing,Simulation,Sports,Strategy","Single-player,VR Supported,Partial Controller Support,Family Sharing",Strategic Designs Ltd.,Strategic Designs Ltd.,17.49
Disc Golf Adventure VR,"Nov 8, 2019",0,7,3,80,0 - 20000,"Casual,Indie,Sports","Single-player,Multi-player,PvP,Online PvP,Tracked Controller Support,VR Only,Steam Leaderboards,Family Sharing","Brian Macumber,Kevin Macumber","Brian Macumber,Kevin Macumber",1.99
KAPITAL PUNISHMENT 22XX,"Mar 6, 2023",0,78,2,0,50000 - 100000,"Action,Indie,Early Access","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing","Morningstar Game Studio,Dr. Shameless Cat Games",Morningstar Game Studio,4.99
Wren's Resurgence,"Jan 23, 2025",0,8,8,75,20000 - 50000,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Soliloquy Games,Soliloquy Games,1.24
Nomad Fleet,"Apr 19, 2016",0,140,69,0,20000 - 50000,"Indie,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",Autarca,Autarca,0.79
Marginal act,"Mar 27, 2018",0,4,6,0,0 - 20000,"Adventure,Indie","Single-player,Steam Achievements,Partial Controller Support,Family Sharing",Marginalact,Marginalact,0.99
Pro Basketball Manager 2016,"Jan 14, 2016",0,40,37,0,0 - 20000,"Simulation,Sports","Single-player,Steam Cloud,Family Sharing","Cyanide Studio,Umix Studios",Nacon,14.99
Doggy Up!,"Dec 7, 2024",0,21,3,35,0 - 20000,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Feas,"Feas_games,Axyos Games",2.59
Legends of Savvarah: Children of the Sun,"Jan 23, 2025",0,38,2,47,0 - 20000,"Adventure,Indie,RPG","Single-player,Steam Achievements,Family Sharing",ST Sinovar,ST Sinovar,4.23
Jump The Gun,"Nov 25, 2022",0,82,10,0,0 - 20000,"Adventure,Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats","Cameron Chin,Gavin Dewitt,Cardboard Games",Cameron Chin,0.0
Show Must Go On,"Jun 1, 2017",0,31,11,0,20000 - 50000,"Casual,Indie","Single-player,Tracked Controller Support,VR Only,Family Sharing",NiVision,NiVision,14.99
MindLift,"Dec 30, 2024",0,0,0,0,0 - 0,"Casual,Indie","Single-player,Family Sharing",SmallHandStudio,SmallHandStudio,0.99
Escape from the Marble Monster,"May 31, 2023",0,6,0,0,0 - 20000,"Action,Casual,Indie","Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards,Family Sharing",Elio Ruben Studios,Elio Ruben Studios,0.99
Paladin's Lance,"Jan 1, 2021",0,4,0,0,0 - 20000,"Action,Adventure,Indie,RPG,Simulation","Single-player,Steam Achievements,Family Sharing",BrightFox,BrightFox,2.99
Acting Lessons,"Jul 25, 2019",0,0,0,0,0 - 20000,Indie,"Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",Dr PinkCake,Dr PinkCake,7.49
单身狗的最后机会,"Apr 8, 2021",0,45,8,0,0 - 20000,"Casual,Indie,RPG,Simulation","Single-player,Steam Achievements,Stats,Family Sharing",小鱼工作室,小鱼工作室,0.99
BitShift: BattleGrid,"Sep 28, 2016",0,6,0,0,0 - 20000,"Action,Indie,Early Access","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Stats,Steam Leaderboards,Remote Play Together,Family Sharing",Animate Objects,Animate Objects,14.99
Rogue Sentry,"Apr 15, 2021",0,16,2,0,0 - 20000,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Family Sharing",Mapledev,Mapledev,7.99
ERISLE,"Mar 10, 2017",0,13,12,0,0 - 20000,"Action,RPG,Early Access","Single-player,VR Supported,Steam Trading Cards,Partial Controller Support",Expect Studio,Expect Studio,0.0
Almost Dungeon,"May 3, 2024",0,1,0,0,0 - 20000,"Indie,Strategy","Single-player,Steam Achievements,Family Sharing",Almost Studio,Rubika Supinfogame,2.99
Just Walk,"Jul 3, 2024",0,8,0,0,20000 - 50000,"Action,Adventure,Casual,Indie,Simulation","Single-player,Steam Achievements,In-App Purchases,Stats,Steam Leaderboards,Family Sharing",1987 Studios,1987 Studios,0.99
Midnight Renegade: Recollections,"Jun 3, 2022",0,7,1,0,0 - 20000,"Action,Indie,RPG","Single-player,Full controller support",UltimaMaxima,UltimaMaxima,0.0
Tower Tag,"May 28, 2020",0,265,29,40,0 - 20000,"Action,Indie,Sports,Early Access","Multi-player,PvP,Online PvP,Steam Achievements,Tracked Controller Support,VR Only,Stats,Family Sharing",VR Nerds,VR Nerds,5.99
Arcade Boy,"Aug 27, 2021",0,13,3,0,100000 - 200000,"Action,Adventure,Casual,Indie,RPG","Single-player,Steam Achievements",Edvar Studio,Edvar Studio,0.0
Andromeda One Zombies,"Jul 15, 2020",0,29,36,0,50000 - 100000,"Action,Free To Play,RPG",Single-player,Yann GEFFROTIN,Yann GEFFROTIN,0.0
BeatTown,"May 16, 2025",0,0,0,0,0 - 20000,"Indie,RPG,Strategy","Single-player,Family Sharing",Kiwi Punch LLC,Kiwi Punch LLC,3.99
Elzzup,"Sep 6, 2023",0,5,1,0,0 - 20000,"Casual,Indie","Single-player,Family Sharing",Moumix,Moumix,3.99
Z.A.T.O. // I Love the World and Everything In It,"Nov 10, 2025",0,0,0,0,0 - 0,"Adventure,Indie,Free To Play","Single-player,Full controller support",Ferry // Nopanamaman,Ferry // Nopanamaman,0.0
Samsara Room,"Apr 29, 2020",0,8956,246,0,500000 - 1000000,"Adventure,Free To Play,Indie","Single-player,Steam Achievements,Steam Cloud",Rusty Lake,Rusty Lake,0.0
SYREN,"Feb 16, 2017",0,20,17,0,0 - 20000,"Nudity,Violent,Gore,Action","Single-player,Tracked Controller Support,VR Only,Family Sharing",Hammerhead VR,Hammerhead VR,19.99
It Steals,"Jul 22, 2020",0,2030,35,45,200000 - 500000,"Action,Indie","Single-player,Steam Achievements,Remote Play Together,Family Sharing",Zeekerss,Zeekerss,2.74
Stayin' Alive,"May 17, 2018",0,212,72,80,20000 - 50000,"Action,Casual,Indie","Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing",IndieGala,IndieGala,1.19
Kate Kite,"May 7, 2021",0,2,0,0,0 - 20000,"Adventure,Casual,Indie,Racing,Sports","Single-player,Family Sharing","DY STUDIO,DY STUDIO",DY STUDIO,0.99
The Corn Maze,"Dec 25, 2024",0,12,9,60,20000 - 50000,"Casual,Indie,Strategy","Single-player,Steam Achievements,Family Sharing",Wild Wizard Studios,Wild Wizard Studios,1.59
"Lynn , The Girl Drawn On Puzzles","Nov 19, 2020",0,81,12,70,0 - 20000,"Casual,Indie,Strategy","Single-player,Steam Achievements,Partial Controller Support,Family Sharing",DOTORIS,DOTORIS,2.39
Phasmophobia,"Sep 18, 2020",0,736611,32168,30,10000000 - 20000000,"Action,Indie,Early Access","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Tracked Controller Support,VR Supported,Steam Trading Cards,Camera Comfort,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Surround Sound,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",Kinetic Games,Kinetic Games,13.99
For Her,"Apr 7, 2025",0,25,1,80,0 - 20000,"Adventure,Casual,Indie","Single-player,Steam Achievements,Family Sharing",Matthew,Matthew,0.99
Sculplings,"Mar 4, 2025",0,28,0,0,0 - 20000,"Action,Casual,Indie,Early Access","Single-player,Steam Achievements,Family Sharing","Conor Garity,Liam Kerrigan",Conor Garity,6.29
Fortitude Tower Defense,"Apr 2, 2025",0,5,1,60,0 - 20000,Strategy,"Single-player,Steam Achievements,Family Sharing",Gould Games,Gould Games,1.99
Super Urban Wizard,"Nov 1, 2019",0,1,7,86,0 - 20000,"Action,Casual,Indie","Single-player,Family Sharing","ShoeStringTeam,DemonSwordGames",Conglomerate 5,0.69
Immortal Hunters,"Mar 5, 2025",0,78,25,50,0 - 20000,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Co-op,Online Co-op,Full controller support,Family Sharing",Admiral Games,indie.io,9.99
Vertical Kingdom,"Apr 15, 2024",0,106,23,35,0 - 20000,"Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Farlight Games Industry,indie.io,12.99
Cobra Kai 2: Dojos Rising,"Nov 8, 2022",0,36,49,90,0 - 20000,Action,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Family Sharing",Flux Games,GameMill Entertainment,4.99
Sweetie Candy Maze: Red Cherry,"Aug 15, 2025",0,0,0,0,0 - 0,"Casual,Indie","Single-player,Steam Achievements,Full controller support,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Steam Cloud,Family Sharing",Cute Hannah's Games,Cute Hannah's Games,0.55
The Brave Little Cloud,"Dec 13, 2023",0,30,0,88,0 - 20000,"Adventure,Indie","Single-player,Family Sharing",VICTORIA Games,VICTORIA Games,1.19
Destroyer,"Oct 19, 2016",0,7,2,80,0 - 20000,"Action,Casual,Indie,Simulation","Single-player,Tracked Controller Support,VR Only,Family Sharing",Arent,KOMODO,2.49
The Entropy Centre,"Nov 3, 2022",0,3312,367,65,500000 - 1000000,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Stubby Games,Playstack,6.99
Zen Cube,"May 27, 2021",0,2,3,24,20000 - 50000,"Casual,Indie,Strategy","Single-player,Family Sharing",Derik Moretti da Silveira,Derik Moretti da Silveira,0.75
タナトス-Thanatos-,"Oct 27, 2024",0,0,0,0,0 - 20000,RPG,"Single-player,Family Sharing",とらいあんぐる！,とらいあんぐる！,12.49
Reus,"May 16, 2013",0,4576,1263,60,500000 - 1000000,"Indie,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Family Sharing",Abbey Games,Abbey Games,3.99
Nogalious MSX,"Feb 28, 2019",0,2,5,0,0 - 20000,"Action,Adventure,Casual,Indie","Single-player,Family Sharing",LUEGOLU3GO STUDIOS,LUEGOLU3GO STUDIOS,3.99
Voxel Race,"Nov 6, 2018",0,41,43,72,20000 - 50000,"Casual,Indie,Racing","Single-player,Partial Controller Support,Family Sharing",RewindApp,RewindApp,0.55
Bunny Mania 2,"Nov 23, 2017",0,5,1,0,0 - 20000,"Action,Casual,Indie,Strategy","Single-player,Family Sharing",Crispy Software Development,FeelThere,4.99
Lynne,"Jul 13, 2018",0,836,215,0,50000 - 100000,"Indie,Simulation,Free To Play","Single-player,Steam Achievements",ebi-hime,ebi-hime,0.0
It's Not Rocket Science!,"Apr 17, 2024",0,1,0,0,0 - 20000,"Action,Casual,Indie","Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together,Family Sharing",Fastest Rocket Team,Rubika Supinfogame,3.99
Brick BiuBiu,"Jul 13, 2021",0,0,0,0,0 - 20000,"Casual,Indie","Single-player,Family Sharing","Shanghai Online Information Technology Co.,Ltd","Shanghai Online Information Technology Co.,Ltd",0.99
Average Human Ball Game,"Aug 22, 2025",0,3,0,60,0 - 20000,"Action,Indie,Sports","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support,Family Sharing",Ultra Hypa Studios,Ultra Hypa Studios,1.99
Draft Day Sports: College Football 2022,"Feb 15, 2022",0,9,9,0,0 - 20000,"Indie,Simulation,Sports,Strategy","Single-player,Family Sharing",Wolverine Studios,Wolverine Studios,3.99
Cyberpunk Horror,"May 9, 2024",0,0,0,0,0 - 0,"Action,Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy","Single-player,Steam Achievements,Family Sharing",Alex&R,AK Studio,2.49
Idle Armada,"Sep 23, 2020",0,51,6,25,0 - 20000,"Strategy,Early Access","Single-player,Steam Cloud,Family Sharing",Corfe83,Corfe83,2.99
Triversal,"Jul 13, 2021",0,23,1,0,0 - 20000,"Casual,Indie","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",Phantom Compass,Phantom Compass,11.99
The soldier in the mine,"Aug 14, 2017",0,65,66,86,100000 - 200000,"Action,Indie","Single-player,Steam Achievements,Family Sharing",Laush Dmitriy Sergeevich,Laush Studio,0.69
Need for Speed™,"Jun 4, 2020",0,16504,7099,88,1000000 - 2000000,"Action,Adventure,Racing,Simulation","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards",Ghost Games,Electronic Arts,3.59
Roman Adventures: Britons. Season 1,"Sep 20, 2018",0,36,2,50,0 - 20000,"Adventure,Casual,Simulation,Strategy","Single-player,Family Sharing",Qumaron,Qumaron,2.99
Knotwords,"Apr 28, 2022",0,49,6,0,0 - 20000,"Casual,Indie,Strategy","Single-player,Steam Achievements,Steam Cloud,Family Sharing","Zach Gage,Jack Schlesinger",Zach Gage,11.99
PrototypeOutpost3,"Dec 20, 2021",0,0,0,0,0 - 20000,"Action,Indie,RPG","Single-player,Family Sharing","XingChunFang,兴春坊",兴春坊,6.99
This Game Might Improve Your Memory,"Aug 7, 2020",0,4,2,0,0 - 20000,"Adventure,Indie,Simulation",Single-player,Harrison Mansolf,Harrison Mansolf,0.0
Gods and Idols,"Dec 12, 2016",0,531,225,0,100000 - 200000,"Indie,RPG,Simulation,Strategy,Free To Play,Early Access","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op",JatteGames,JatteGames,0.0
The Bewildering Basilica of the Bishop of Bobtown,"Dec 7, 2024",0,1,0,0,0 - 20000,"Indie,Strategy,Early Access","Single-player,Steam Achievements,Steam Cloud,Family Sharing",Matrix Goat Studios,Matrix Goat Studios,4.99
Under The Crisis: Dárlia Island Remaster,"Jul 4, 2024",0,6,0,60,0 - 20000,"Action,Casual,Indie","Single-player,Steam Achievements,Full controller support,Family Sharing",Silent Dream,Silent Dream,1.99
EnchantedGirl - 纯情房东俏房客,"Feb 4, 2019",0,8,18,0,0 - 20000,"Adventure,Casual,RPG,Simulation","Single-player,Family Sharing",Shenzhen zhengyilong technology co. LTD.,Shenzhen zhengyilong technology co. LTD.,15.99
VR Mad Asylum,"Aug 5, 2021",0,1,1,0,0 - 20000,"Action,Indie","Single-player,Tracked Controller Support,VR Only,Family Sharing",Saturn VR,"Saturn VR,NipsApp Gaming Software",2.99
The Legend of Viccess,"Sep 30, 2019",0,1,0,0,0 - 20000,"Adventure,Indie,RPG","Single-player,Family Sharing",Domo Studio,Domo Studio,0.99
Snails,"May 4, 2015",0,12,4,0,20000 - 50000,"Action,Strategy","Single-player,Steam Achievements","Jorge Lima,Alexandre Fontoura",2Brains Games,0.0
МЕМАСИКИ ПО КЛАССИКЕ 2,"Feb 17, 2026",0,0,0,0,0 - 0,"Action,Adventure,Indie,RPG,Simulation","Single-player,Family Sharing",Reanim Games,STuNT,0.69
Carom Billiards,"Jul 3, 2020",0,2,9,0,0 - 20000,"Simulation,Sports","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Leaderboards,Family Sharing",Pix Arts,Pix Arts,2.49
Marble Trap,"Sep 2, 2019",0,75,7,40,0 - 20000,"Action,Racing","Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing",NanningsGames,NanningsGames,1.79
Might of the Stones,"Feb 15, 2022",0,3,0,60,0 - 20000,"Adventure,RPG","Single-player,Family Sharing",Lichanos,Lichanos,0.79
Delivery Impossible,"Jan 5, 2024",0,15,0,80,0 - 20000,"Casual,Indie,Racing,Simulation","Single-player,Steam Achievements,Full controller support,Family Sharing",Drunk Fly Oy,Drunk Fly Oy,1.99
Angelstruck,"Jul 5, 2024",0,118,5,0,0 - 20000,"Action,Indie","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Feral Paw,Feral Paw,4.19
"Gray Skies, Dark Waters","Jun 9, 2017",0,32,5,0,100000 - 200000,"Adventure,Casual,Indie","Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud,Commentary available,Family Sharing","Green Willow Games, LLC","Green Willow Games, LLC",2.49
